Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Frankfurt,0,0,0,0,0,0,0,0
Nuremberg,0,0,0,0,0,0,0,0
Bayern Munich,0,0,0,0,0,0,0,0
Augsburg,0,0,0,0,0,0,0,0
B Mgladbach,0,0,0,0,0,0,0,0
Schalke,0,0,0,0,0,0,0,0
Stuttgart,0,0,0,0,0,0,0,0
Mainz,0,0,0,0,0,0,0,0
B Leverkusen,0,0,0,0,0,0,0,0
DÃ¼sseldorf,0,0,0,0,0,0,0,0
Hoffenheim,0,0,0,0,0,0,0,0
Freiburg,0,0,0,0,0,0,0,0
Hertha Berlin,0,0,0,0,0,0,0,0
RB Leipzig,0,0,0,0,0,0,0,0
Werder Bremen,0,0,0,0,0,0,0,0
Wolfsburg,0,0,0,0,0,0,0,0
Hannover,0,0,0,0,0,0,0,0
B Dortmund,0,0,0,0,0,0,0,0
